timestamp_ns	elapsed_ms	rss_kib	hwm_kib	threads	cpu_percent	cgroup_current	cgroup_peak	version_http	health_http
1788892153030242784	190324	596964	596964	8	39.0	649596928	652537856	200	200
1788892154059155546	191353	596964	596964	8	39.0	648921088	652537856	200	200
1788892155086298556	192380	596964	596964	8	39.0	649527296	652537856	200	200
1788892156109433229	193403	596964	596964	8	39.0	648896512	652537856	200	200
1788892157157137410	194451	596964	596964	8	39.0	649568256	652537856	200	200
1788892158179407293	195473	596964	596964	8	39.0	649990144	652537856	200	200
1788892159214331298	196508	597444	597604	8	39.2	650424320	652537856	200	200
1788892160238440575	197532	597444	597604	8	39.2	649625600	652537856	200	200
1788892161257326262	198551	597444	597604	8	39.2	649527296	652537856	200	200
1788892162286482319	199581	597444	597604	8	39.2	650407936	652537856	200	200
1788892163306388007	200600	595340	597604	8	39.3	647602176	652595200	200	200
1788892164324650716	201619	595340	597604	8	39.3	648257536	652595200	200	200
1788892165348733916	202643	595340	597604	8	39.3	647561216	652595200	200	200
1788892166370013425	203664	595340	597604	8	39.3	648396800	652595200	200	200
1788892167388002106	204682	595340	597604	8	39.3	648122368	652595200	200	200
1788892170275091420	207569	595340	597604	8	39.4	648364032	652595200	200	200
1788892171303520513	208598	595340	597604	8	39.4	647761920	652595200	200	200
1788892172333820062	209628	595340	597604	8	39.4	648052736	652595200	200	200
1788892173351582318	210646	595340	597604	8	39.4	647995392	652595200	200	200
1788892174383016306	211677	595340	597604	8	39.4	647643136	652595200	200	200
1788892175405087843	212699	595340	597604	8	39.6	647856128	652595200	200	200
1788892176429661057	213724	595340	597604	8	39.6	648024064	652595200	200	200
1788892177449304571	214743	595340	597604	8	39.6	648114176	652595200	200	200
1788892178475857052	215770	595340	597604	8	39.6	647884800	652595200	200	200
1788892179493411837	216787	595340	597604	8	39.6	648404992	652595200	200	200
1788892180511596441	217806	595340	597604	8	39.7	647610368	652595200	200	200
1788892181540777565	218835	595340	597604	8	39.7	647888896	652595200	200	200
1788892182559386602	219853	595340	597604	8	39.7	648437760	652595200	200	200
1788892183578354679	220872	595340	597604	8	39.7	648540160	652595200	200	200
1788892184596521441	221891	595340	597604	8	39.8	648134656	652595200	200	200
1788892185617208092	222911	595340	597604	8	39.8	648413184	652595200	200	200
1788892186644539671	223939	595340	597604	8	39.8	647823360	652595200	200	200
1788892187668095880	224962	595340	597604	8	39.8	647831552	652595200	200	200
1788892188685306713	225979	595340	597604	8	39.8	647548928	652595200	200	200
1788892189703764112	226998	595340	597604	8	39.8	647782400	652595200	200	200
1788892190722836629	228017	595340	597604	8	39.8	647921664	652595200	200	200
1788892191741706633	229036	595340	597604	8	39.9	647815168	652595200	200	200
1788892192762173674	230056	595340	597604	8	39.9	647921664	652595200	200	200
1788892193780969936	231075	595340	597604	8	39.9	648232960	652595200	200	200
1788892194801741088	232096	595340	597604	8	39.9	647512064	652595200	200	200
1788892195830183817	233124	595340	597604	8	39.9	647831552	652595200	200	200
1788892196860991302	234155	595340	597604	8	39.9	648495104	652595200	200	200
1788892197880723825	235175	595340	597604	8	39.9	647835648	652595200	200	200
1788892198905147281	236199	595340	597604	8	39.9	648019968	652595200	200	200
1788892201769121333	239063	595340	597604	8	40.0	647962624	652595200	200	200
1788892202788198294	240082	595340	597604	8	39.9	648081408	652595200	200	200
